Date,open,high,low,Price,Change %
2015-01-01,12.239159864838792,12.582737975451321,12.239159864838792,12.239159864838792,
2015-01-02,12.206746835535723,12.342881558608614,12.206746835535723,12.31046852930554,
2015-01-05,12.239159864838792,12.647564034057462,12.239159864838792,12.628116216475618,
2015-01-06,12.440120646517821,12.440120646517821,12.239159864838792,12.329916346887382,
2015-01-07,12.641081428196843,12.945763903645696,12.641081428196843,12.945763903645696,
2015-01-08,13.587541883846454,13.587541883846454,13.587541883846454,13.587541883846454,
2015-01-09,14.268215499210903,14.268215499210903,14.268215499210903,14.268215499210903,
2015-01-12,14.974819538017808,14.974819538017808,14.974819538017808,14.974819538017808,
2015-01-13,15.720319211988384,15.720319211988384,15.720319211988384,15.720319211988384,
2015-01-14,16.504714521122647,16.504714521122647,16.115758169485826,16.504714521122647,
2015-01-15,17.3280054654206,17.3280054654206,17.29559243611753,17.3280054654206,
2015-01-16,18.196674650742846,18.196674650742846,17.340970677141826,18.190192044882235,
2015-01-19,18.462461491028012,19.097756865368158,18.462461491028012,19.04589601848325,
2015-01-20,19.94697823310856,19.992356474132855,19.17554813569552,19.8691869627812,
2015-01-21,19.90808259794488,20.861025659455102,19.90808259794488,20.861025659455102,
2015-01-22,21.904725203013907,21.904725203013907,21.522251457237704,21.904725203013907,
2015-01-23,23.00028559345764,23.00028559345764,21.76210787408041,23.00028559345764,
2015-01-26,24.141224224925665,24.141224224925665,23.25310722202158,23.9208156256648,
2015-01-27,24.069915560458917,24.497767547259425,22.94842474657273,24.16715464836813,
2015-01-28,23.66151139124025,23.78468090259191,22.954907352433352,22.954907352433352,
2015-01-29,22.43629888358425,24.08936337804076,21.80748611510471,23.875437384640502,
2015-01-30,24.069915560458917,25.068236862993448,23.356828915791404,24.27735894799855,
2015-02-02,25.042306439550984,25.444228002909036,24.27735894799855,24.5301805765625,
2015-02-03,24.478319729677583,24.80245002270827,23.30496806890649,23.428137580258152,
2015-02-04,23.25310722202158,23.55778969747043,22.85118565866353,22.90304650554844,
