Date,open,high,low,Price,Change %
2015-01-01,128.6543042593877,134.2946808553107,127.66201578417898,130.5568122381713,
2015-01-02,134.2946808553107,134.2946808553107,131.63863050061684,132.57869326660395,
2015-01-05,131.63863050061684,134.2946808553107,131.63863050061684,133.74258050068332,
2015-01-06,132.7055271318562,133.30239238010205,131.63863050061684,132.9069691531392,
2015-01-07,132.30264308929029,132.63837979142855,130.64634202540816,131.0193828055617,
2015-01-08,131.31035461408163,132.30264308929029,129.65405355019942,130.5269689757589,
2015-01-09,131.63863050061684,131.63863050061684,129.65405355019942,129.98979025233768,
2015-01-12,130.81047996867574,130.9820787275464,129.51975886934412,129.97486862113152,
2015-01-13,129.3183168480612,129.65405355019942,127.99775248631724,129.3183168480612,
2015-01-14,129.3183168480612,131.63863050061684,127.99775248631724,130.4523608197282,
2015-01-15,132.63091897582547,136.97311365681384,131.31035461408163,136.97311365681384,
2015-01-16,143.8221423804347,143.8221423804347,138.93530816042198,143.8221423804347,
2015-01-19,148.20910195504152,148.20910195504152,139.59932074909548,141.23323936616845,
2015-01-20,141.292925890993,141.292925890993,138.60703227388686,140.09173457889833,
2015-01-21,142.25537110378937,142.25537110378937,137.60728298307504,137.81618581996105,
2015-01-22,136.95073121000462,137.60728298307504,131.97436720275505,133.69781560706483,
2015-01-23,131.99674964956432,133.79480620990483,130.9820787275464,131.1089125927986,
2015-01-26,134.2946808553107,134.9586934439842,131.97436720275505,132.57869326660395,
2015-01-27,132.63837979142855,137.60728298307504,132.63837979142855,134.7945555007166,
2015-01-28,134.2946808553107,134.92138936596882,132.30264308929029,132.99649894037597,
2015-01-29,132.63837979142855,134.7945555007166,132.23549574886263,133.60082500422493,
2015-01-30,133.30239238010205,134.13054291204313,132.17580922403798,132.91442996874224,
2015-02-02,133.30239238010205,134.1976902524708,131.63863050061684,132.84728262831462,
2015-02-03,135.28696933051944,135.28696933051944,132.63837979142855,133.09348954321595,
2015-02-04,132.9666556779638,133.79480620990483,129.32577766366427,131.98182801835813,
2015-02-06,132.63837979142855,133.63066826663723,130.31806613887292,130.8850881247064,
2015-02-09,129.3183168480612,133.13079362123136,129.3183168480612,131.1089125927986,
2015-02-10,130.9820787275464,132.63837979142855,129.3183168480612,131.01192198995864,
2015-02-11,130.31806613887292,131.8997590467243,130.31806613887292,131.47449255734915,
2015-02-12,129.35562092607648,138.04747110365636,126.0057147202968,134.07085638721856,
2015-02-13,133.63066826663723,134.2946808553107,132.63837979142855,132.80251773469612,
2015-02-16,132.63837979142855,132.63837979142855,131.47449255734915,132.05643617438886,
2015-02-17,132.31010390489337,132.9666556779638,130.9820787275464,132.63091897582547,
2015-02-18,131.31035461408163,131.31035461408163,129.3183168480612,130.64634202540816,
2015-02-19,130.9820787275464,132.30264308929029,130.64634202540816,131.9370631247397,
2015-02-20,130.9970003587525,132.63837979142855,126.33399060683203,130.65380284101118,
2015-02-23,130.9820787275464,130.9820787275464,124.34941365641464,127.22182766359765,
2015-02-24,128.80352057144907,128.80352057144907,126.0057147202968,126.95323830188705,
2015-02-25,126.9980031955055,127.66201578417898,125.34170213162335,126.33399060683203,
2015-02-26,127.49787784091137,127.99775248631724,126.33399060683203,126.33399060683203,
2015-02-27,126.0057147202968,126.6697273089703,124.34941365641464,125.27455479119568,
2015-03-02,126.0057147202968,127.16214113877308,124.67768954294985,125.05819113870656,
2015-03-03,124.34941365641464,126.0057147202968,124.34941365641464,126.0057147202968,
2015-03-04,125.34170213162335,126.0057147202968,124.34941365641464,125.66997801815853,
2015-03-05,124.3568744720177,126.0057147202968,124.3568744720177,125.94602819547224,
2015-03-06,125.37900620963872,125.37900620963872,124.24496223797159,124.34941365641464,
2015-03-09,124.52847323088834,125.96841064228143,124.01367695427633,124.84928830182051,
2015-03-10,124.34941365641464,124.84182748621745,124.34941365641464,124.34941365641464,
2015-03-11,124.34941365641464,124.34941365641464,122.68565177692943,122.68565177692943,
2015-03-12,124.34941365641464,124.34941365641464,122.72295585494474,122.72295585494474,
