Date,open,high,low,Price,Change %
2015-01-06,493.62054043647595,500.46280535341714,485.507569177817,488.57681372627343,
2015-01-07,488.57681372627343,500.45303068925006,488.000108540417,495.9762345007372,
2015-01-08,496.79730629077005,502.1244982618172,496.74843296993475,500.39438270424773,
2015-01-09,501.91923031430895,504.3726710202407,496.0642064782406,501.47937042679126,
2015-01-12,499.4853389367113,503.39520460353486,493.96265368232304,495.4972759565512,
2015-01-13,495.0867400615348,496.55293968659356,490.6881411863582,493.4836951381371,
2015-01-14,496.0153331574054,502.4177381868289,494.10927364482876,496.5236156940924,
2015-01-15,498.5078725200053,502.17337158265246,492.1738901397512,494.5686828606806,
2015-01-16,495.67321991155836,497.5304061032995,490.19940797800524,494.40251356984055,
2015-01-19,494.8423734573583,498.4980978558383,493.6303151006429,497.2664901707889,
2015-01-20,498.5078725200053,500.3552840475795,494.6077815173488,495.80029054573004,
2015-01-21,502.4177381868289,505.1057708327702,495.57547326988777,498.26350591582894,
2015-01-22,496.55293968659356,498.4785485275042,488.92870163628766,490.67836652219114,
2015-01-23,491.6656076030642,494.59800685318174,488.7234336887794,489.8670693963253,
2015-01-26,498.4980978558383,502.5154848284995,496.0739811424078,499.5537615858807,
2015-01-27,501.4402717701231,524.5280285327163,499.96429748089713,523.6287594293468,
2015-01-28,522.9445329376528,545.1818939177118,519.1324139124997,528.5063168487093,
2015-01-29,527.8318650211822,533.6966635214175,512.2021770180547,514.2548564931373,
2015-01-30,516.1022680207116,520.0121336875351,503.39520460353486,507.8133528070455,
2015-02-02,513.1698687705937,523.6287594293468,509.2600031037701,516.3955079457231,
2015-02-03,518.0572008541233,521.4783333125939,511.21493593718196,516.6594238782338,
2015-02-04,517.0797344374174,524.9483390918997,512.3390223163938,514.0007152247938,
2015-02-06,517.0797344374174,521.9670665209467,515.9947467148737,517.9692288766196,
2015-02-09,519.4256538375115,532.7094224405445,518.0572008541233,525.3881989794174,
2015-02-10,528.809331437888,534.6643552739564,520.0121336875351,527.2844838278269,
2015-02-11,527.8318650211822,532.5725771422058,522.9543076018198,525.0069870769022,
2015-02-12,528.809331437888,531.7417306880058,503.5418245660407,521.3903613350905,
2015-02-13,525.8671575236033,528.3205982295352,518.0669755182903,526.7175533061376,
2015-02-16,526.8543986044763,526.8543986044763,510.2863428413113,516.9917624599138,
2015-02-17,517.0797344374174,525.8769321877702,513.3262633972666,515.6526334690267,
