Date,open,high,low,Price,Change %
2015-01-01,22.500885900465683,23.30087774651713,22.500885900465683,22.988613271292596,
2015-01-02,22.732853796346767,23.303851693900214,22.732853796346767,23.134336693064046,
2015-01-05,22.87560327073514,23.158128272128767,22.85181169167041,22.872629323352037,
2015-01-06,22.87560327073514,23.22058116717368,22.83396800737187,23.003483008208025,
2015-01-07,23.018352745123497,23.161102219511864,22.848837744287312,22.96184774484477,
2015-01-08,22.96184774484477,23.20571143025823,22.872629323352037,23.107571166616232,
2015-01-09,23.161102219511864,23.161102219511864,23.018352745123497,23.021326692506587,
2015-01-12,23.018352745123497,23.735074064448405,23.018352745123497,23.56555906361222,
2015-01-13,23.735074064448405,24.047338539672943,23.461470905204052,23.964068012946402,
2015-01-14,24.02057301322513,25.049558807774577,24.02057301322513,24.594544858161676,
2015-01-15,24.87706985955531,24.87706985955531,24.306071962001862,24.54101380526604,
2015-01-16,24.44882143639022,24.44882143639022,23.735074064448405,24.07410406612078,
2015-01-19,23.79157906472713,24.163322487613502,23.56258511622913,23.687490906318953,
2015-01-20,23.877823538836765,23.93432853911551,23.592324590060034,23.601246432209305,
2015-01-21,23.592324590060034,23.946224328647858,23.592324590060034,23.800500906876408,
2015-01-22,23.94919827603094,24.520196173584395,23.80644880164259,24.306071962001862,
2015-01-23,24.30309801461876,24.40718617302695,23.892693275752222,23.993807486777314,
2015-01-26,24.764059858997843,24.87706985955531,24.16629643499659,24.314993804151122,
2015-01-27,24.306071962001862,24.573727226480027,24.062208276588407,24.487482752370408,
2015-01-28,24.306071962001862,24.306071962001862,24.09194775041932,24.237671172190762,
2015-01-29,24.12168722425022,24.306071962001862,23.883771433602952,24.047338539672943,
2015-01-30,23.93135459173242,24.419081962559297,23.93135459173242,24.05923432920531,
2015-02-02,24.09194775041932,24.520196173584395,23.93432853911551,24.481534857604217,
2015-02-03,24.50532643666894,24.56183143694767,24.02057301322513,24.439899594240945,
2015-02-04,24.16629643499659,24.44882143639022,24.163322487613502,24.368524857046758,
2015-02-06,24.44882143639022,24.85922617525675,24.306071962001862,24.734320385166946,
2015-02-09,24.835434596192037,25.162568808332043,24.734320385166946,24.76703380638095,
2015-02-10,24.764059858997843,25.162568808332043,24.419081962559297,24.9127572281524,
2015-02-11,24.77000775376404,24.978184070580394,24.734320385166946,24.781903543296398,
2015-02-12,24.59157091077858,24.665919595355845,24.288228277703308,24.338785383215864,
