Date,open,high,low,Price,Change %
2015-01-06,219.81908654473412,223.77159565132953,215.86657743813868,220.45212636126823,
2015-01-07,220.70215049048758,221.1383628010405,209.7064084671594,211.52573298190455,
2015-01-08,212.34496097977228,216.74432172156835,211.02568472346582,212.29176435653415,
2015-01-09,214.92499720682315,222.90449069254754,213.00459910792546,216.49961725467276,
2015-01-12,216.4783386053776,220.4787246728873,214.1536461698698,215.4250454652619,
2015-01-13,215.4250454652619,216.74432172156835,212.5949851089916,213.47272939242131,
2015-01-14,213.71211419699307,215.86125777581486,212.786492952649,213.222705263202,
2015-01-15,216.62728915044434,221.57457511159345,215.4250454652619,215.96765102229114,
2015-01-16,217.62738566732182,222.02142674679402,214.54730118183224,219.58502140248615,
2015-01-19,222.78213845909977,230.55948477651913,221.58521443624105,230.55948477651913,
2015-01-20,233.55977432715142,242.08719303222878,233.55977432715142,242.08719303222878,
2015-01-21,245.757760035662,254.1894248189107,245.40666232229012,254.1894248189107,
2015-01-22,264.66383993450484,266.89809811050765,258.0674586529729,265.8022476718015,
2015-01-23,265.98311619081124,265.98311619081124,252.7956732900709,255.07248876466426,
2015-01-26,260.7060111655856,267.8183996925278,257.6312463424198,266.1480257228496,
2015-01-27,270.81868924316024,279.17055909155164,267.74392441999447,272.13796549946665,
2015-01-28,271.74431048750426,274.7765180120795,266.42464816368806,267.89287496506125,
2015-01-29,265.98311619081124,270.81868924316024,265.9405588922208,266.3554925534784,
2015-01-30,268.00458787386157,271.2602212160369,263.791415313399,265.0628146087911,
2015-02-02,267.30239244711777,273.01570978289624,266.6427543189645,267.7705227316136,
2015-02-03,270.81868924316024,273.1912586395823,266.8608604742409,267.57369522563243,
2015-02-04,270.81868924316024,272.13796549946665,257.1897143695432,262.0040087725967,
2015-02-06,261.5890751113392,263.7860956510752,254.55648151925405,255.4342258026837,
2015-02-09,255.5193403998649,260.44534771171857,251.91260934431742,253.22656593829998,
2015-02-10,254.11494954637732,265.8820426066589,254.11494954637732,265.8820426066589,
2015-02-11,270.37715727028353,279.17055909155164,269.6164455579779,278.61199454755103,
2015-02-12,277.4150705246924,281.80911160416457,264.68511858380015,272.94655417268683,
2015-02-13,273.89877372864987,280.05362303730533,272.13796549946665,274.54777253215553,
2015-02-16,277.8512828352453,278.7343467809988,268.1801367305474,270.10053482944494,
2015-02-17,269.4994129868539,273.01570978289624,256.5992318515995,256.5992318515995,
2015-02-18,243.7682063265547,247.07703629196843,243.7682063265547,243.7682063265547,
2015-02-19,244.00227146880266,248.83784452115154,240.04444269988332,242.02335708434305,
2015-02-20,243.97035349485975,246.1992920085387,240.92218698331305,241.57650544914245,
2015-02-23,243.1670844839635,244.88001575223237,240.04444269988332,240.64024488015082,
2015-02-24,242.23614357729562,242.68299521249617,228.6603653269167,230.83078755503362,
2015-02-25,230.80950890573843,232.57031713492157,226.85699979914287,227.7666620565156,
2015-02-26,229.054020338879,236.87924361721278,228.6124883660023,234.20345346833315,
2015-02-27,237.40589018727047,241.35307963154207,232.57031713492157,233.66084791130385,
2015-03-02,234.76733767465774,236.59198185172664,229.53810961034634,230.474370179338,
2015-03-03,230.81482856806218,235.09715673873424,227.782621043487,231.8734413705016,
2015-03-04,233.44806141835127,234.72478037606714,229.054020338879,229.4423556885177,
2015-03-05,230.33073929659488,231.9053593444445,228.60716870367852,229.55406859731787,
2015-03-06,231.46914703389163,231.69257285149195,226.85699979914287,229.00614337796475,
2015-03-09,228.6603653269167,230.54352578954754,224.6599792594068,225.34621569917917,
2015-03-10,222.5055160182613,226.41546782626622,222.4576390573469,223.22367043197653,
2015-03-11,221.1383628010405,223.86202991083434,219.40415288347643,221.6596897087745,
2015-03-12,223.22899009430031,223.77691531365338,221.1383628010405,221.55861612462198,
2015-03-13,222.67574521262333,232.63415308280744,222.67574521262333,231.84152339655876,
2015-03-16,234.37368266269527,236.08661393096403,225.5377235428365,228.0592434843255,
2015-03-17,227.73474408257263,229.7987730642133,222.02142674679402,224.04821809216796,
2015-03-18,222.54275365452796,226.40482850161862,213.22802492552577,219.6914146489626,
2015-03-19,220.26061851761082,223.77691531365338,217.62738566732182,221.180920099631,
2015-03-20,223.55880915837696,232.12878516204486,222.89917103022373,230.17646908920426,
2015-03-24,233.0065294454745,235.86850777568768,229.93176462230872,233.46402040532274,
2015-03-25,233.88959339122798,235.09715673873424,230.37329659518548,231.84684305888257,
2015-03-26,234.24069110459988,235.86850777568768,224.23972593582536,232.1341048243686,
2015-03-27,233.88959339122798,235.2088696475344,225.97925551571322,227.36768738222926,
2015-03-30,224.21844728653016,225.93137855479893,216.0048886585578,216.0048886585578,
2015-03-31,209.27019615660652,226.8038031759048,209.27019615660652,226.8038031759048,
2015-04-01,227.287892447372,229.27212649415551,219.81908654473412,221.3139116577264,
2015-04-02,222.02142674679402,226.41546782626622,222.02142674679402,224.7557331812356,
2015-04-03,226.41546782626622,226.766565539638,218.94134226130447,220.2127415566965,
2015-04-06,219.81908654473412,231.21912290467222,218.1061552764652,230.88398417827182,
2015-04-07,231.66597453987282,233.22995526307474,224.7663725058832,226.04309146359907,
2015-04-08,226.766565539638,237.34205423938485,226.42078748859004,236.522826241517,
2015-04-09,237.40589018727047,248.34311592503664,231.70321217613957,248.34311592503664,
2015-04-10,250.41778423132502,259.97721742722297,244.0661074166885,248.69421363840854,
2015-04-13,247.960100237722,259.1686287540027,244.88001575223237,251.5029953453836,
2015-04-14,252.35414131719412,256.00342967133207,248.83784452115154,250.2422353746391,
2015-04-15,252.83823058866142,256.72690374737107,251.8062160978411,252.41797726507994,
2015-04-16,257.1897143695432,258.0674586529729,252.7956732900709,254.1309085333487,
2015-04-17,254.55116185693024,256.70030543575206,241.47543186498993,244.8746960899085,
2015-04-20,248.3537552496844,248.39631254827486,234.02790461164716,235.8631881133638,
2015-04-21,235.2088696475344,236.0440566323736,227.07510595441943,229.9636825962517,
2015-04-22,230.37329659518548,241.45947287801857,230.37329659518548,241.45947287801857,
2015-04-23,244.00227146880266,253.53510635308143,243.58201814522124,250.65184937357301,
2015-04-24,250.56141511406798,250.56141511406798,238.288954133024,240.4061797379029,
2015-04-27,241.31052233295162,244.88001575223237,236.5281459038409,237.98041371824274,
2015-04-28,239.6029107270067,244.00227146880266,238.7677237421675,241.77865261744742,
2015-04-29,243.46498557409726,246.17269369691968,239.6029107270067,240.23595054354072,
2015-04-30,240.92218698331305,242.6404379139057,237.40057052494672,240.4700156857886,
2015-05-04,241.80525092906657,252.35414131719412,241.58182511146623,245.8588336198145,
2015-05-05,246.1992920085387,249.7155888045813,244.0448287673932,245.95990720396705,
2015-05-06,248.39631254827486,250.15712077745806,245.42794097158537,246.59294702050119,
2015-05-07,246.1992920085387,246.64082398141554,241.82652957836186,242.7149131864392,
2015-05-08,241.80525092906657,241.80525092906657,237.95381540662362,238.70920745660555,
2015-05-11,238.94327259885344,238.94327259885344,228.6337670152976,230.21902638779477,
2015-05-12,230.28286233568053,235.8259504770972,229.4955523117558,232.0968671881019,
2015-05-13,232.04367056486376,232.12878516204486,220.49468365985874,229.202970883946,
2015-05-14,200.1788932452046,200.1788932452046,200.1788932452046,200.1788932452046,
2015-05-15,202.23760256452144,204.43462310425758,197.88079912131596,200.22145054379507,
2015-05-18,200.03526236246154,200.91832630821503,195.9018847368564,196.94453855232436,
2015-05-19,196.94453855232436,200.3650814265381,193.44420074325322,194.58260848054994,
2015-05-20,193.57187263902483,194.32194502668284,187.94898956275102,189.49169163665775,
2015-05-21,190.39603423170658,193.88041305380614,189.48637197433396,192.960111471786,
2015-05-22,193.88041305380614,196.9604975392958,193.00266877037643,193.81125744359656,
2015-05-25,196.9604975392958,196.9604975392958,191.24186054119332,192.25791604504226,
2015-05-26,191.68339251407005,192.56113679749978,189.48637197433396,189.8002320514391,
2015-05-27,192.1302441492706,192.40686659010908,189.48637197433396,190.04493651833465,
2015-05-28,189.92258428488688,199.54585342867045,188.6086276909043,196.08275325586612,
2015-05-29,200.47679433533827,205.8868909186594,199.5990500519086,205.8230549707736,
2015-06-01,207.95091990030008,210.14794044003622,203.11534684795112,206.17415268414544,
2015-06-02,206.63164364399367,210.14794044003622,205.44535894578263,205.93476787957374,
2015-06-03,206.62632398166983,209.92983428475975,204.4559017535528,206.5305700598411,
2015-06-04,208.1690260555765,216.85071496804463,206.41353748871717,214.03661359874584,
2015-06-05,213.22802492552577,218.49981028842762,211.5789296051428,212.29176435653415,
2015-06-08,208.82334452140594,218.85622766412337,204.87083541481047,216.98370652613997,
2015-06-09,215.4250454652619,222.8832120432522,215.4250454652619,218.48917096378008,
2015-06-10,219.38287423418112,221.5266981506791,217.22841099303562,217.60078735570275,
2015-06-11,218.63280184652302,220.70215049048758,216.7868790201588,217.65398397894086,
2015-06-12,218.49981028842762,222.4150817587564,217.18585369444503,218.27106480850355,
2015-06-15,219.77652924614355,221.9735497858796,218.0635979778747,218.71259678138028,
2015-06-16,219.20732537749527,220.39361007570622,217.09541943494023,217.42523849901684,
2015-06-17,217.1805340321212,218.9307029366568,214.97819383006134,215.89849541208156,
2015-06-18,216.3027897486915,217.4039598497215,211.02568472346582,212.58434578434404,
2015-06-19,211.46721669634266,212.56838679737265,204.43462310425758,207.23808514890874,
2015-06-22,208.49352545732935,208.49884511965308,201.6258413972826,202.4131514212074,
2015-06-23,202.23760256452144,206.1901116711169,202.23760256452144,203.6366737556851,
2015-06-24,203.59943611941839,213.81318778114553,203.59943611941839,210.29689098510306,
2015-06-25,208.39245187317687,210.58947241291293,204.43462310425758,205.53579320528758,
2015-06-26,204.87083541481047,206.63164364399367,202.23760256452144,203.1259861725988,
2015-06-29,206.1901116711169,207.95091990030008,202.0141767469212,204.87083541481047,
2015-06-30,206.62632398166983,210.14794044003622,205.35492468627777,206.01456281443097,
2015-07-01,207.07317561687043,214.52070287021309,206.72207790349853,211.13739763226602,
2015-07-02,212.34496097977228,215.33461120575706,209.48830231188296,210.00430955729314,
2015-07-03,210.14794044003622,213.22802492552577,209.38190906540666,210.07878482982656,
2015-07-06,211.02568472346582,214.30259671493667,210.36604659531267,210.701185321713,
2015-07-07,211.46721669634266,221.23411672286915,210.14794044003622,220.5531999454207,
2015-07-08,223.71307936576753,223.9950214689298,212.786492952649,213.8663844043837,
2015-07-09,213.22802492552577,213.66423723607872,208.82866418372976,209.94579327173113,
2015-07-10,211.02568472346582,216.3027897486915,211.02568472346582,211.9885436040766,
2015-07-13,210.58947241291293,213.00459910792546,210.28093199813165,211.21719256712325,
2015-07-14,211.9087486692194,216.3027897486915,210.36604659531267,210.82885721748468,
2015-07-15,212.786492952649,214.95159551844222,211.02568472346582,211.53637230655215,
2015-07-16,211.33422513824723,212.56838679737265,210.36604659531267,211.14803695691356,
2015-07-22,209.10316310650762,212.0954473136183,206.3717720064226,206.67525990643202,
2015-07-23,206.81369298362932,207.69221058891986,201.5319386536404,202.0271031220768,
2015-07-24,202.01645442383094,205.49325440113216,201.20182900801612,202.41578060805384,
2015-07-27,202.41578060805384,203.7308948414281,194.93507009027726,196.4099147973406,
2015-07-28,194.97766488326099,202.32526667296338,194.97766488326099,198.1988961026595,
2015-07-29,198.0551386763392,201.79283176066602,198.01254388335542,198.34265352897975,
2015-07-30,199.7269843009527,201.48934386065665,197.57062290614869,198.83781799741615,
2015-07-31,199.75360604656754,200.9941793922202,196.47380698681633,197.0381879938514,
2015-08-03,197.66113684123923,198.45446486056218,195.371666718361,196.17564343592989,
2015-08-04,196.25550867277445,197.13402627806497,192.29419292528277,192.9810339621462,
2015-08-05,193.82228112357592,199.5512807798945,193.39100884461513,194.0991472779705,
2015-08-06,195.81358769556763,203.60311046247676,194.71144742711235,201.2390994518769,
2015-08-07,202.389158862439,204.94484644146587,195.81891204469065,196.6867809517352,
2015-08-10,197.13402627806497,198.82184495004734,193.61463150777993,194.0246063902488,
